기간,자치구,동,유년부양비,노년부양비,노령화지수
2020,합계,합계,13.8,21.4,154.9
2020,종로구,소계,11.1,24.3,218.4
2020,종로구,사직동,13.4,26.2,195.6
2020,종로구,삼청동,13.2,34.1,258.2
2020,종로구,부암동,13.5,24.6,182.1
2020,종로구,평창동,14.5,25.6,177.1
2020,종로구,무악동,20.1,24.6,122.1
2020,종로구,교남동,16.9,21.4,126.4
2020,종로구,가회동,12.2,30.2,247.2
2020,종로구,종로1·2·3·4가동,6.5,32.8,505.3
2020,종로구,종로5·6가동,5,25.9,518.1
2020,종로구,이화동,7.2,22.7,313.1
2020,종로구,창신1동,5.8,28.6,495.3
2020,종로구,창신2동,6.5,24.8,379.1
2020,종로구,창신3동,12.4,23.8,191.8
2020,종로구,숭인1동,10.1,25.9,256.5
2020,종로구,숭인2동,5.3,21.2,402.6
2020,종로구,청운효자동,16.1,25.2,155.9
2020,종로구,혜화동,8.1,17.3,214.3
2020,중구,소계,10.7,24.6,229.9
2020,중구,소공동,16.8,12.1,72.2
2020,중구,회현동,9.4,40.4,429.9
2020,중구,명동,7.6,28.9,381
2020,중구,필동,7.9,24.1,307.1
2020,중구,장충동,7.6,19.7,259.5
2020,중구,광희동,5.7,25.1,439.6
2020,중구,을지로동,5.4,38.4,709.5
2020,중구,신당5동,10,21.6,215.2
2020,중구,황학동,10.3,19.3,187.6
2020,중구,중림동,15.5,23,148.7
2020,중구,신당동,6.5,19.8,306.8
2020,중구,다산동,8.6,24,278.8
2020,중구,약수동,13.5,31.8,234.9
2020,중구,청구동,11.6,26,225
2020,중구,동화동,14.9,24.1,162.1
2020,용산구,소계,12.5,22.1,177.7
2020,용산구,후암동,11.8,22.9,194.7
2020,용산구,용산2가동,8.1,24.9,306.4
2020,용산구,남영동,5.1,26.7,518
2020,용산구,원효로2동,14.3,23.2,162.5
2020,용산구,효창동,14.6,18.9,129
2020,용산구,용문동,12.6,23.3,183.9
2020,용산구,이촌1동,22.5,23,102.2
2020,용산구,이촌2동,13.4,29,216.5
2020,용산구,이태원1동,8,24.6,307.6
2020,용산구,이태원2동,10.8,23.9,222
2020,용산구,서빙고동,15.4,20.5,133.5
2020,용산구,보광동,7.9,23.9,302.9
2020,용산구,청파동,7.3,21.2,290.4
2020,용산구,원효로1동,14.4,15.6,108.1
2020,용산구,한강로동,11.4,19.9,174.2
2020,용산구,한남동,11.9,21.4,179.6
2020,성동구,소계,13.3,20.3,152.6
2020,성동구,왕십리2동,13.7,20,146.3
2020,성동구,마장동,11,21.7,197.7
2020,성동구,사근동,5.9,13.2,224.6
2020,성동구,행당1동,13.5,19.6,145.3
2020,성동구,행당2동,16.2,21.4,132.3
2020,성동구,응봉동,18.7,22.6,120.7
2020,성동구,금호1가동,15.9,22.8,143.7
2020,성동구,금호4가동,18.1,21.9,120.5
2020,성동구,성수1가1동,11.7,16.7,142.9
2020,성동구,성수1가2동,11.3,18.2,160.7
2020,성동구,성수2가1동,9.8,21.9,224.6
2020,성동구,성수2가3동,9.5,21.4,225.8
2020,성동구,송정동,9.3,20.3,217.3
2020,성동구,용답동,7.5,21.8,290.1
2020,성동구,왕십리도선동,15.2,17.9,117.2
2020,성동구,금호2·3가동,13.8,22.5,163.1
2020,성동구,옥수동,17.8,20.7,116.4
2020,광진구,소계,11.8,18.3,154.7
2020,광진구,화양동,3,10.4,351.5
2020,광진구,군자동,8.4,16.9,200.5
2020,광진구,중곡1동,9.1,19.8,218.9
2020,광진구,중곡2동,11.1,18.8,169.4
2020,광진구,중곡3동,9.3,21.8,235.6
2020,광진구,중곡4동,10.5,22.3,211.7
2020,광진구,능동,9.1,17.2,188.9
2020,광진구,구의1동,7.7,17,220.1
2020,광진구,구의2동,14.7,21.1,143.8
2020,광진구,구의3동,13.5,17.5,129.8
2020,광진구,광장동,25,14.5,58
2020,광진구,자양1동,9.6,18.4,191.9
2020,광진구,자양2동,13,20,153.5
2020,광진구,자양3동,17.2,19.1,110.9
2020,광진구,자양4동,7.9,22.5,285.9
2020,동대문구,소계,12.3,23.5,191.3
2020,동대문구,회기동,7.7,15.2,196.1
2020,동대문구,휘경1동,9.2,17.6,190.3
2020,동대문구,휘경2동,11.8,20.8,176
2020,동대문구,청량리동,9.4,38.1,404.4
2020,동대문구,용신동,8.1,22.9,284.3
2020,동대문구,제기동,8.6,29.3,340.5
2020,동대문구,전농1동,12.4,25.3,204.4
2020,동대문구,전농2동,15.2,26.5,173.7
2020,동대문구,답십리2동,13,25.8,198.3
2020,동대문구,장안1동,13.3,21.7,163.6
2020,동대문구,장안2동,18.4,21.3,115.8
2020,동대문구,이문1동,7.9,19.8,251.1
2020,동대문구,이문2동,14.9,25.9,174.1
2020,동대문구,답십리1동,17.4,19.2,110.5
2020,중랑구,소계,12.2,23.6,193.5
2020,중랑구,면목2동,11,23.7,216.2
2020,중랑구,면목4동,12,26.5,221.8
2020,중랑구,면목5동,15.7,19.8,125.7
2020,중랑구,면목7동,10.7,25.2,234.8
2020,중랑구,상봉1동,15.1,19.6,129.7
2020,중랑구,상봉2동,7.2,18.4,255.3
2020,중랑구,중화1동,13,23.4,180.1
2020,중랑구,중화2동,8,25.5,321.2
2020,중랑구,묵1동,15.1,22.3,147.4
2020,중랑구,묵2동,11.8,23.9,202.7
2020,중랑구,망우3동,10.5,25.6,244.3
2020,중랑구,신내1동,19.4,23.8,122.4
2020,중랑구,신내2동,14.5,25.6,176.4
2020,중랑구,면목본동,9.3,22.3,238.8
